JSON: {"text": "“仅仅十二分钟，看懂的人却花了整整数十年！”", "url": "https://www.bilibili.com/video/BV1GW421d7Sj/"}
JSON: {"text": "【剧情向MAD】明明是主演，却演着配角戏…（败犬女主/小鞠知花）", "url": "https://www.bilibili.com/video/BV1yVHwetE9r/"}
JSON: {"text": "“这双眼睛，能够看清黑暗”", "url": "https://www.bilibili.com/video/BV1yi4y1h79g/"}
JSON: {"text": "【MAD/艾笠】再见，我心爱的人啊", "url": "https://www.bilibili.com/video/BV15F411Q7fF/"}
JSON: {"text": "【泛式/单集MAD】少女歌剧：露崎真昼的双人舞「DUET STARLIGHT」", "url": "https://www.bilibili.com/video/BV1fW41197SA/"}
JSON: {"text": "〖拿去吧☆好心情！〗（日文字幕版）2008年的N站神作，晴天好心情&拿去吧水手服的感人MAD", "url": "https://www.bilibili.com/video/BV1LNg4eDEuE/"}
JSON: {"text": "【剧透注意】论破V3的老鼠死掉了【手书MAD】", "url": "https://www.bilibili.com/video/BV1Ux411C76C/"}
JSON: {"text": "［前方高燃］魔女之夜《Magia》战歌起", "url": "https://www.bilibili.com/video/BV1Wx411Y7uq/"}
JSON: {"text": "⚡️“谁 教 你 这 么 吹 的 ? ”⚡️", "url": "https://www.bilibili.com/video/BV1TS421R7Pw/"}
JSON: {"text": "【暴太郎战队咚兄弟组//MAD】这世间便是乐园！笑一笑吧！笑一笑吧！", "url": "https://www.bilibili.com/video/BV1Za411j7P9/"}
JSON: {"text": "【成都MAD大赛/BLUE LOCK】利己主义者//Egoists", "url": "https://www.bilibili.com/video/BV1Z24y1N7Fx/"}
JSON: {"text": "【静止画MAD】让驱魔师免于堕落", "url": "https://www.bilibili.com/video/BV1mo4y1t7A7/"}
JSON: {"text": "【夯大力】《差点》催泪神曲“要不是开始成年生活我差点就信了”", "url": "https://www.bilibili.com/video/BV144mTYsEbU/"}
JSON: {"text": "【4K/MAD】当士道用刻刻帝回到了第一季OP……", "url": "https://www.bilibili.com/video/BV1tTiPe3Ezi/"}
JSON: {"text": "「亚托莉/静止系MAD」“我挚爱的时光”", "url": "https://www.bilibili.com/video/BV1UH4y1F7z6/"}
JSON: {"text": "前方超帅！史诗级百部动漫混剪！带你感受无缝衔接带来的视觉震撼！！！", "url": "https://www.bilibili.com/video/BV1iu41127FP/"}
JSON: {"text": "“画面越来越清晰，记忆却越来越模糊… ”", "url": "https://www.bilibili.com/video/BV1nqyXYeEPq/"}
JSON: {"text": "【4K Hi-Res】灵能百分百 第三季 插曲：MOB CHOIR「Exist」【完整版】", "url": "https://www.bilibili.com/video/BV1Ld4y1r7Tm/"}
JSON: {"text": "“我叫高仓健”", "url": "https://www.bilibili.com/video/BV1ET2jYKEU3/"}
JSON: {"text": "【火影忍者】用战斗来祭奠这个世界 ！！", "url": "https://www.bilibili.com/video/BV1px411N7Yd/"}
JSON: {"text": "【赛马娘/好歌剧/MAD】欢迎来到《世纪末霸王传说》第一章的舞台", "url": "https://www.bilibili.com/video/BV1oX4y1z7W2/"}
JSON: {"text": "【假面骑士龙骑/MAD】果然，我还是想关闭镜世界，阻止战斗，但是...... 《Revolution》生存曲", "url": "https://www.bilibili.com/video/BV1P94y1r7Zb/"}
JSON: {"text": "⚠️【JOJO】替身名一次听到爽 燃爆", "url": "https://www.bilibili.com/video/BV15S4y1c7nX/"}
JSON: {"text": "男神们的暴力美学", "url": "https://www.bilibili.com/video/BV1YD4TeKEgt/"}
JSON: {"text": "【Re：从零开始的异世界生活/MAD】 你是我的英雄！！！", "url": "https://www.bilibili.com/video/BV16s41167YV/"}
JSON: {"text": "【雷欧/MAD】没有故乡的男人——闪耀在天际的狮子瞳", "url": "https://www.bilibili.com/video/BV18t411L79T/"}
JSON: {"text": "新人类——时代的眼泪【高达UC百年/名台词/MAD】（閃光 English ver.）", "url": "https://www.bilibili.com/video/BV1WK4y1M7dU/"}
JSON: {"text": ""如果可以，我想和十几岁遇见的那个人结婚...."", "url": "https://www.bilibili.com/video/BV161ymYXE72/"}
JSON: {"text": "三十年前的老动画至今秒杀一片", "url": "https://www.bilibili.com/video/BV1ZgpneKEpu/"}
JSON: {"text": "崩坏的魔女·祝福【崩坏3新春会/MAD】", "url": "https://www.bilibili.com/video/BV1n84y187WL/"}
JSON: {"text": "【异度侵入/MAD】Butterfly", "url": "https://www.bilibili.com/video/BV1h7411y7MF/"}
JSON: {"text": "三十年前的老动画至今秒杀一片", "url": "https://www.bilibili.com/video/BV1hZ421N7Ta/"}
JSON: {"text": "【剧透注意】论破V3的老鼠死掉了【手书MAD】", "url": "https://www.bilibili.com/video/BV1Ux411C76C/"}
JSON: {"text": "【RAS】全程高燃！《R・I・O・T》完整版！少女乐队的顶峰！", "url": "https://www.bilibili.com/video/BV13m411C7oW/"}
JSON: {"text": "【剧情向MAD】明明是主演，却演着配角戏…（败犬女主/小鞠知花）", "url": "https://www.bilibili.com/video/BV1yVHwetE9r/"}
JSON: {"text": "【我心危/MAD】不是因为帅才喜欢你，是因为喜欢你你才帅", "url": "https://www.bilibili.com/video/BV127421N74S/"}
JSON: {"text": "【电锯人/静止画】First Death", "url": "https://www.bilibili.com/video/BV1WH4y1p7fB/"}
JSON: {"text": "“恭喜你发现这个被神抛弃的世界！”—— Empires Rise&Fall", "url": "https://www.bilibili.com/video/BV18Z4y1u7xA/"}
JSON: {"text": "【MAD/JOJO】杀手皇后- 吉良吉影（第八部）", "url": "https://www.bilibili.com/video/BV1jt411a7uP/"}
JSON: {"text": "【作画MAD】 BD解禁 ! 园神绝地逢生 —— 咒术回战 第二季 精彩作画集锦", "url": "https://www.bilibili.com/video/BV1Wx4y1U7fk/"}
JSON: {"text": "前方万人呐喊 : ❗Hen Shin！❗", "url": "https://www.bilibili.com/video/BV1oo4y1f7V1/"}
JSON: {"text": "“ 无 所 谓 ，我 会 出 手 ”", "url": "https://www.bilibili.com/video/BV1jP4y1D7ZZ/"}
JSON: {"text": "“我翻开了没有你的下一页”", "url": "https://www.bilibili.com/video/BV16S4y127Hk/"}
JSON: {"text": "[MAD] One Last Kiss  致 绫波丽", "url": "https://www.bilibili.com/video/BV1sf4y1374S/"}
JSON: {"text": ""你们玩得这么变态吗...”", "url": "https://www.bilibili.com/video/BV1qm4213751/"}
JSON: {"text": "“所以你宁愿错过，也不愿主动是吗...”", "url": "https://www.bilibili.com/video/BV1VDs6etEZe/"}
JSON: {"text": "【MAD/艾笠】再见，我心爱的人啊", "url": "https://www.bilibili.com/video/BV15F411Q7fF/"}
JSON: {"text": "【赛马娘MAD/燃】米浴是英雄啊！！！", "url": "https://www.bilibili.com/video/BV1zf4y147WF/"}
JSON: {"text": "【泛式/单集MAD】少女歌剧：露崎真昼的双人舞「DUET STARLIGHT」", "url": "https://www.bilibili.com/video/BV1fW41197SA/"}
JSON: {"text": "HERO～希望之歌 【龙珠MAD】", "url": "https://www.bilibili.com/video/BV1s741187jS/"}
JSON: {"text": "【闪光的哈马斯】「闪光」MAD 屏住呼吸 直至瞄准镜出现敌人的身影", "url": "https://www.bilibili.com/video/BV16w411P77G/"}
JSON: {"text": "【多素材/高燃MAD】燃到极限，战歌燃起来", "url": "https://www.bilibili.com/video/BV1pW411A7GT/"}
JSON: {"text": "【JOJO】绅 士 之 风", "url": "https://www.bilibili.com/video/BV19i4y1t7KA/"}
JSON: {"text": "𝒋𝒖𝒏𝒌𝒐 𝒆𝒏𝒐𝒔𝒉𝒊𝒎𝒂 𝒆𝒅𝒊𝒕", "url": "https://www.bilibili.com/video/BV1981zYREf5/"}
JSON: {"text": "𝙏𝙞𝙢𝙚 𝙎𝙩𝙤𝙥 / 希望你今后的每一次笑，都是真心的", "url": "https://www.bilibili.com/video/BV1Kj411V7NJ/"}
JSON: {"text": "【4K】AMV/MAD：韩国画师游戏动画精选 | 作者：Jack The Anime Ripper", "url": "https://www.bilibili.com/video/BV1Ci42167un/"}
JSON: {"text": "耗时800h，只为呈现塞尔达这2分钟的无缝衔接!【MAD】", "url": "https://www.bilibili.com/video/BV19b4y1m7VE/"}
JSON: {"text": "【MAD/AMV】现场版音效《机动战士高达SEED FREEDOM》主题歌「FREEDOM」(西川貴教 with t.komuro) 4K高画质", "url": "https://www.bilibili.com/video/BV1fH4y1V7n8/"}
JSON: {"text": "哪一部动漫是你梦开始的地方！！！！！", "url": "https://www.bilibili.com/video/BV1r2yPYwEwV/"}
JSON: {"text": "《崩坏3》动画短片「阿波卡利斯如是说」", "url": "https://www.bilibili.com/video/BV1bY411b7k9/"}
JSON: {"text": "【GBC/双菜MAD】坏女孩", "url": "https://www.bilibili.com/video/BV17J4m1T7QS/"}
JSON: {"text": "【梦比优斯MAD丨高燃混剪】夺走你的硬币只需一首歌的时间", "url": "https://www.bilibili.com/video/BV18Z421T7Wg/"}
JSON: {"text": "不死之王·阿卡多【4k/60帧】", "url": "https://www.bilibili.com/video/BV1oT421U72D/"}
JSON: {"text": "【超燃/MAD】假面骑士Evol—角色歌Evolution 最骚最浪的行星吞噬者 无限进化的黑洞", "url": "https://www.bilibili.com/video/BV1c7411c72U/"}
JSON: {"text": "【B站11周年】一年一首神级动漫单曲串烧，燃爆2020!!!", "url": "https://www.bilibili.com/video/BV1iz4y1X7Fo/"}
JSON: {"text": "【𝟒𝐊𝟔𝟎𝐅𝐏𝐒】超燃对决！赤牙高光回！白狐vs赤牙！移花接木！白狐击溃血魔！【伍六七之记忆碎片】", "url": "https://www.bilibili.com/video/BV1Dx2NYWE1S/"}
JSON: {"text": "【电锯人】 说，一切献给玛奇玛", "url": "https://www.bilibili.com/video/BV1gb4y1C7np/"}
JSON: {"text": "高达G复国 OP BLAZING (回忆系列) AI 4K (MAD·AMV)", "url": "https://www.bilibili.com/video/BV1Ni4y1i7P7/"}
JSON: {"text": "「动漫中的帅气站位」", "url": "https://www.bilibili.com/video/BV1jp421R7uq/"}
JSON: {"text": "【仙兜/高燃/MAD】“我已经褪去蛇皮，升华成龙”真正的自我", "url": "https://www.bilibili.com/video/BV1ug41187QV/"}
JSON: {"text": "⚡️你 也 想 起 舞 么⚡️", "url": "https://www.bilibili.com/video/BV1QL411Y7Qj/"}
JSON: {"text": "我也背负着很多东西，所以不会失败的", "url": "https://www.bilibili.com/video/BV1NjtuewED4/"}
JSON: {"text": "「MAD·AMV」机动战士高达NT 插曲 Cage(NTv)  - 泽野弘之&Tielle『4K Hi-Res』", "url": "https://www.bilibili.com/video/BV1h84y1X7Te/"}
JSON: {"text": "【极恶老大MAD/主stolitz】狂饮到窒息", "url": "https://www.bilibili.com/video/BV1wzWfeREhd/"}
JSON: {"text": "【Promise】/Da-iCE 【假面骑士的存在，就是一场史诗】", "url": "https://www.bilibili.com/video/BV1b1421t7hx/"}
JSON: {"text": "「亚托莉/静止系MAD」“我挚爱的时光”", "url": "https://www.bilibili.com/video/BV1UH4y1F7z6/"}
JSON: {"text": "“时间静止？你们玩的这么花.....”", "url": "https://www.bilibili.com/video/BV1t24ceyEoR/"}
JSON: {"text": "怎么玩得这么变态！", "url": "https://www.bilibili.com/video/BV1xi421U7hx/"}
JSON: {"text": "全程高燃！恶鬼缠身！一刀修罗！登峰造极！", "url": "https://www.bilibili.com/video/BV1FE411X7e7/"}
JSON: {"text": "【高达全系列/名台词/MAD】摇篮永存于那里！", "url": "https://www.bilibili.com/video/BV1Vb4y1Q7c8/"}
JSON: {"text": "【4K搬运中译 | 蓝色监狱】天才 | 糸师冴", "url": "https://www.bilibili.com/video/BV1vX4y1L7QH/"}
JSON: {"text": "明日香 | 烂泥。", "url": "https://www.bilibili.com/video/BV1L94y1d745/"}
JSON: {"text": "每天亿遍 青春无限！！！", "url": "https://www.bilibili.com/video/BV19b4y1R7i9/"}
JSON: {"text": "前方黑化高能！经历过绝望的人才会明白什么是光明！", "url": "https://www.bilibili.com/video/BV1p7411a7uj/"}
JSON: {"text": ""踩准点，变帅身，打狠架"", "url": "https://www.bilibili.com/video/BV1PV411H78Y/"}
JSON: {"text": "【MAD/FAIZ】欢迎来到假面骑士555的世界", "url": "https://www.bilibili.com/video/BV1Rg41167as/"}
JSON: {"text": "十年前B站全是这种视频！！", "url": "https://www.bilibili.com/video/BV1ubyPY1E1P/"}
JSON: {"text": "【混剪/令和/MAD】我们所梦想的未来，由我们自己来决定！", "url": "https://www.bilibili.com/video/BV1n64y1r7FD/"}
JSON: {"text": "【赛罗MAD／全程高燃】前进⚠️这就是斩断黑夜的光！", "url": "https://www.bilibili.com/video/BV1Ph411N7zA/"}
JSON: {"text": "【雷欧高燃/MAD】狮子的金色眼眸光芒在闪耀 ！尽情的燃烧，狮王雷欧！", "url": "https://www.bilibili.com/video/BV1744y1F71q/"}
JSON: {"text": "最终鬼畜蓝蓝路", "url": "https://www.bilibili.com/video/BV1xx411c7mu/"}
JSON: {"text": "【跨次元】吉 良 吉 影", "url": "https://www.bilibili.com/video/BV1H54y1B7kq/"}
JSON: {"text": "致，我最后的热泪盈眶[静止画MAD/风华回战2022]", "url": "https://www.bilibili.com/video/BV1SV4y1T7ZM/"}
JSON: {"text": "【每天一遍，网抑再见】万恶之源，抖就完事了", "url": "https://www.bilibili.com/video/BV1Ax411d7jD/"}
JSON: {"text": "崩坏的魔女·祝福【崩坏3新春会/MAD】", "url": "https://www.bilibili.com/video/BV1n84y187WL/"}
JSON: {"text": "【进击的巨人/𝘾𝙖𝙡𝙡 𝙤𝙛 𝙎𝙞𝙡𝙚𝙣𝙘𝙚】即使身在地狱，亦可向往天堂", "url": "https://www.bilibili.com/video/BV1JP411i7ia/"}
JSON: {"text": "【无职转生】转折点5【手书/ MAD】", "url": "https://www.bilibili.com/video/BV1vw4m1e76T/"}
JSON: {"text": "⚡青 春 响 起 曲 ⚡超燃混剪⚡", "url": "https://www.bilibili.com/video/BV1aD4y1j7E7/"}
JSON: {"text": "【奥特燃爆/泽塔MAD】闪耀吧！名为Z的战士！", "url": "https://www.bilibili.com/video/BV1Cb4y1Q7Zh/"}
JSON: {"text": "“多年以后再看，才明白这是多么讽刺....”", "url": "https://www.bilibili.com/video/BV1ar421F7KD/"}
JSON: {"text": "”停  止  呼  吸“", "url": "https://www.bilibili.com/video/BV1871fYvEuv/"}
JSON: {"text": "【JOJO】绅 士 之 风", "url": "https://www.bilibili.com/video/BV19i4y1t7KA/"}
JSON: {"text": "你敢信这是十年前的国产动画?论视美彩铅为何是作画先驱者【作画MAD】", "url": "https://www.bilibili.com/video/BV15N411k7U7/"}
JSON: {"text": "【闪光的哈马斯】「闪光」MAD 屏住呼吸 直至瞄准镜出现敌人的身影", "url": "https://www.bilibili.com/video/BV16w411P77G/"}
JSON: {"text": "【克豹静止系/MAD】“亿万次疯狂有多狼狈 欺骗自己干掉空杯”", "url": "https://www.bilibili.com/video/BV1NHxhenEX6/"}
JSON: {"text": "《进击的巨人》的尖刀 —— 原画师今井有文MAD", "url": "https://www.bilibili.com/video/BV1Db411y7Jh/"}
JSON: {"text": "【多素材/高燃MAD】燃到极限，战歌燃起来", "url": "https://www.bilibili.com/video/BV1pW411A7GT/"}
JSON: {"text": "《崩坏3》动画短片「阿波卡利斯如是说」", "url": "https://www.bilibili.com/video/BV1bY411b7k9/"}
JSON: {"text": "𝒋𝒖𝒏𝒌𝒐 𝒆𝒏𝒐𝒔𝒉𝒊𝒎𝒂 𝒆𝒅𝒊𝒕", "url": "https://www.bilibili.com/video/BV1981zYREf5/"}
JSON: {"text": "【4K】AMV/MAD：韩国画师游戏动画精选 | 作者：Jack The Anime Ripper", "url": "https://www.bilibili.com/video/BV1Ci42167un/"}
JSON: {"text": "𝙏𝙞𝙢𝙚 𝙎𝙩𝙤𝙥 / 希望你今后的每一次笑，都是真心的", "url": "https://www.bilibili.com/video/BV1Kj411V7NJ/"}
JSON: {"text": "耗时800h，只为呈现塞尔达这2分钟的无缝衔接!【MAD】", "url": "https://www.bilibili.com/video/BV19b4y1m7VE/"}
JSON: {"text": "【MAD/AMV】现场版音效《机动战士高达SEED FREEDOM》主题歌「FREEDOM」(西川貴教 with t.komuro) 4K高画质", "url": "https://www.bilibili.com/video/BV1fH4y1V7n8/"}
JSON: {"text": "不死之王·阿卡多【4k/60帧】", "url": "https://www.bilibili.com/video/BV1oT421U72D/"}
JSON: {"text": "【B站11周年】一年一首神级动漫单曲串烧，燃爆2020!!!", "url": "https://www.bilibili.com/video/BV1iz4y1X7Fo/"}
JSON: {"text": "【MAD】→↘↓↙←Y这是属于鬼泣与闺泣的出招表", "url": "https://www.bilibili.com/video/BV1ht421A7gQ/"}
JSON: {"text": "【仙兜/高燃/MAD】“我已经褪去蛇皮，升华成龙”真正的自我", "url": "https://www.bilibili.com/video/BV1ug41187QV/"}
JSON: {"text": "⚡嗨NM，摇起来了⚡", "url": "https://www.bilibili.com/video/BV1Co4y1X7o9/"}
JSON: {"text": "【𝟒𝐊𝟔𝟎𝐅𝐏𝐒】超燃对决！赤牙高光回！白狐vs赤牙！移花接木！白狐击溃血魔！【伍六七之记忆碎片】", "url": "https://www.bilibili.com/video/BV1Dx2NYWE1S/"}
JSON: {"text": "高达G复国 OP BLAZING (回忆系列) AI 4K (MAD·AMV)", "url": "https://www.bilibili.com/video/BV1Ni4y1i7P7/"}
JSON: {"text": "【海虎MAD】天道的一生", "url": "https://www.bilibili.com/video/BV1Ga411L7tT/"}
JSON: {"text": "【Promise】/Da-iCE 【假面骑士的存在，就是一场史诗】", "url": "https://www.bilibili.com/video/BV1b1421t7hx/"}
JSON: {"text": "我也背负着很多东西，所以不会失败的", "url": "https://www.bilibili.com/video/BV1NjtuewED4/"}
JSON: {"text": "「动漫中的帅气站位」", "url": "https://www.bilibili.com/video/BV1jp421R7uq/"}
JSON: {"text": "𝘾𝙖𝙡𝙡 𝙤𝙛 𝙎𝙞𝙡𝙚𝙣𝙘𝙚  -“我从来都没有变过”", "url": "https://www.bilibili.com/video/BV1zh4y197Bn/"}
JSON: {"text": "为什么你这么熟练", "url": "https://www.bilibili.com/video/BV12mWvecERo/"}
JSON: {"text": "【MAD】十三个奥特曼主题曲串烧！初代到盖亚大合集！", "url": "https://www.bilibili.com/video/BV1dt4y1U7g9/"}
JSON: {"text": "全程高燃！恶鬼缠身！一刀修罗！登峰造极！", "url": "https://www.bilibili.com/video/BV1FE411X7e7/"}
JSON: {"text": "超超超超级战队•真45周年超級紀念PV『MAD』请让超级战队上首页", "url": "https://www.bilibili.com/video/BV1t3411t7PX/"}
JSON: {"text": "怎么玩得这么变态！", "url": "https://www.bilibili.com/video/BV1xi421U7hx/"}
JSON: {"text": "【极恶老大MAD/主stolitz】狂饮到窒息", "url": "https://www.bilibili.com/video/BV1wzWfeREhd/"}
JSON: {"text": "“时间静止？你们玩的这么花.....”", "url": "https://www.bilibili.com/video/BV1t24ceyEoR/"}
JSON: {"text": "“画面越来越清晰，记忆却越来越模糊… ”", "url": "https://www.bilibili.com/video/BV1nqyXYeEPq/"}
JSON: {"text": "【英文填词/MAD】IDOL「アイドル」 by YOASOBI 电音remix", "url": "https://www.bilibili.com/video/BV12V411K7Nw/"}
JSON: {"text": "【静止系MAD】“这招是为了保护你而发明的...就命名为螺旋丸吧！”", "url": "https://www.bilibili.com/video/BV1fQ4y1V7uH/"}
JSON: {"text": "这个世界根本没有什么希望", "url": "https://www.bilibili.com/video/BV1mu411b7Jz/"}
JSON: {"text": "机动战士高达 哀 戦士 (回忆系列) AI 4K (MAD·AMV)", "url": "https://www.bilibili.com/video/BV1Tw411r782/"}
JSON: {"text": "“这双眼睛，能够看清黑暗”", "url": "https://www.bilibili.com/video/BV1yi4y1h79g/"}
JSON: {"text": "年轻的我啊，你会选择怎样的未来呢？ 假面骑士【ZI-O/MAD/燃向/TV完结纪念】", "url": "https://www.bilibili.com/video/BV1i4411q76P/"}
JSON: {"text": "【一拳超人】埼玉老师的各种秒人瞬间（燃向）", "url": "https://www.bilibili.com/video/BV1Es411z7Ag/"}
JSON: {"text": "【御宅制作/燃向MAD/捷德奥特曼】フュージョンライズ（Fusion Rise）！", "url": "https://www.bilibili.com/video/BV1qD4y127Um/"}
JSON: {"text": "【红叔/音MAD】Uncle Red Uncle / Dance Robot Dance 【直播及视频11周年庆贺】", "url": "https://www.bilibili.com/video/BV12M4m1z73X/"}
JSON: {"text": "ᴊᴜsᴛ ᴀ ᴄᴏᴡʙᴏʏ", "url": "https://www.bilibili.com/video/BV1MMsCe9EVN/"}
JSON: {"text": "男神们的暴力美学", "url": "https://www.bilibili.com/video/BV1YD4TeKEgt/"}
JSON: {"text": "【多素材/高燃MAD】燃到极限，战歌燃起来", "url": "https://www.bilibili.com/video/BV1pW411A7GT/"}
JSON: {"text": "前方万人呐喊 : ❗Hen Shin！❗", "url": "https://www.bilibili.com/video/BV1oo4y1f7V1/"}
JSON: {"text": "我也背负着很多东西，所以不会失败的", "url": "https://www.bilibili.com/video/BV1NjtuewED4/"}
JSON: {"text": "“对所爱之人大声诉说”", "url": "https://www.bilibili.com/video/BV1Nm421G71j/"}
JSON: {"text": "“我叫高仓健”", "url": "https://www.bilibili.com/video/BV1ET2jYKEU3/"}
JSON: {"text": "【超燃/MAD】完全胜利！EX-AID无敌玩家战斗曲-Time of Victory【双语字幕】", "url": "https://www.bilibili.com/video/BV1qz4y1y7j4/"}
JSON: {"text": "[燃剪/MAD]这是雷最后的战斗了 大怪兽格斗超燃MAD主题曲《Eternal Traveller》永远的旅行者！", "url": "https://www.bilibili.com/video/BV19M4y1n7Mm/"}
JSON: {"text": "【静止画MAD】No pain, No game【蓝色监狱】", "url": "https://www.bilibili.com/video/BV1jv4y1p7UZ/"}
JSON: {"text": ""暴  力  美  学"", "url": "https://www.bilibili.com/video/BV1g5411y74J/"}
JSON: {"text": "《进击的巨人》的尖刀 —— 原画师今井有文MAD", "url": "https://www.bilibili.com/video/BV1Db411y7Jh/"}
JSON: {"text": "前方超帅！史诗级百部动漫混剪！带你感受无缝衔接带来的视觉震撼！！！", "url": "https://www.bilibili.com/video/BV1iu41127FP/"}
JSON: {"text": "“要是这种程度就被干掉的话，那还算什么英雄”", "url": "https://www.bilibili.com/video/BV1kWWEekErH/"}
JSON: {"text": "“时间静止？你们玩的这么花.....”", "url": "https://www.bilibili.com/video/BV1t24ceyEoR/"}
JSON: {"text": "完整版!![静止系mad/BSD/天人五衰全员!]Couting sheep", "url": "https://www.bilibili.com/video/BV1444y1B7Sp/"}
JSON: {"text": "『Killer Queen』", "url": "https://www.bilibili.com/video/BV1E24y1j7LP/"}
JSON: {"text": "【催泪MAD】时间女孩时崎狂三", "url": "https://www.bilibili.com/video/BV1Rt411h7Xx/"}
JSON: {"text": "“Wonder of U——奇迹与你”", "url": "https://www.bilibili.com/video/BV1Fo4KeVEs1/"}
JSON: {"text": "mmk：“原来你...是这样看我的啊”", "url": "https://www.bilibili.com/video/BV14b421v7uF/"}
JSON: {"text": "【全平成/高燃/MAD】“当你想成为一个英雄的时候，你已经不是英雄了。”", "url": "https://www.bilibili.com/video/BV1WS4y1v7bz/"}
JSON: {"text": "最终鬼畜蓝蓝路", "url": "https://www.bilibili.com/video/BV1xx411c7mu/"}
JSON: {"text": "“ 爱 上 的 过 程 也 是 爱 ”", "url": "https://www.bilibili.com/video/BV1Ee411J7qr/"}
JSON: {"text": "⚡青 春 响 起 曲 ⚡超燃混剪⚡", "url": "https://www.bilibili.com/video/BV1aD4y1j7E7/"}
JSON: {"text": "十年前B站全是这种视频！！", "url": "https://www.bilibili.com/video/BV1ubyPY1E1P/"}
JSON: {"text": "2009-2020神曲集合! "这么多年了，曾经的少年还会为此抛洒热泪吗? "", "url": "https://www.bilibili.com/video/BV1GP4y1e7Yu/"}
JSON: {"text": "【静止系MAD教程】一个分镜制作全流程", "url": "https://www.bilibili.com/video/BV1AY4y1M7Ts/"}
JSON: {"text": "【原创歌曲】粛聖!! ロリ神レクイエム☆ _ 时雨羽衣（9岁）", "url": "https://www.bilibili.com/video/BV1sH4y1D79p/"}
JSON: {"text": "baby 💖", "url": "https://www.bilibili.com/video/BV1Ty4y1K7WF/"}
JSON: {"text": "“对所爱之人大声诉说”", "url": "https://www.bilibili.com/video/BV1Nm421G71j/"}
JSON: {"text": "【天元突破/永世的摇篮/MAD】"希望的曙光，连宿命都能突破"", "url": "https://www.bilibili.com/video/BV19S411c73H/"}
JSON: {"text": "[燃剪/MAD]这是雷最后的战斗了 大怪兽格斗超燃MAD主题曲《Eternal Traveller》永远的旅行者！", "url": "https://www.bilibili.com/video/BV19M4y1n7Mm/"}
JSON: {"text": "【超燃/MAD】完全胜利！EX-AID无敌玩家战斗曲-Time of Victory【双语字幕】", "url": "https://www.bilibili.com/video/BV1qz4y1y7j4/"}
JSON: {"text": "【原创歌曲】粛聖!! ロリ神レクイエム☆ _ 时雨羽衣（9岁）", "url": "https://www.bilibili.com/video/BV1sH4y1D79p/"}
JSON: {"text": "这个世界根本没有什么希望", "url": "https://www.bilibili.com/video/BV1mu411b7Jz/"}
JSON: {"text": "mmk：“原来你...是这样看我的啊”", "url": "https://www.bilibili.com/video/BV14b421v7uF/"}
JSON: {"text": "【催泪MAD】时间女孩时崎狂三", "url": "https://www.bilibili.com/video/BV1Rt411h7Xx/"}
JSON: {"text": "“Wonder of U——奇迹与你”", "url": "https://www.bilibili.com/video/BV1Fo4KeVEs1/"}
JSON: {"text": "【4K搬运中译 | 蓝色监狱】利己 | 洁世一", "url": "https://www.bilibili.com/video/BV1vu4y1R7b3/"}
JSON: {"text": "【全平成/高燃/MAD】“当你想成为一个英雄的时候，你已经不是英雄了。”", "url": "https://www.bilibili.com/video/BV1WS4y1v7bz/"}
JSON: {"text": "〖拿去吧☆好心情！〗（日文字幕版）2008年的N站神作，晴天好心情&拿去吧水手服的感人MAD", "url": "https://www.bilibili.com/video/BV1LNg4eDEuE/"}
JSON: {"text": ""DNA动了！"", "url": "https://www.bilibili.com/video/BV1EJ4m1T7sx/"}
JSON: {"text": "【闪光的哈马斯】「闪光」MAD 屏住呼吸 直至瞄准镜出现敌人的身影", "url": "https://www.bilibili.com/video/BV16w411P77G/"}
JSON: {"text": "2009-2020神曲集合! "这么多年了，曾经的少年还会为此抛洒热泪吗? "", "url": "https://www.bilibili.com/video/BV1GP4y1e7Yu/"}
JSON: {"text": "【作画MAD】 BD解禁 ! 园神绝地逢生 —— 咒术回战 第二季 精彩作画集锦", "url": "https://www.bilibili.com/video/BV1Wx4y1U7fk/"}
JSON: {"text": "宇宙战舰大和号 2199 ED Best of my Love (回忆系列) AI 4K (MAD·AMV)", "url": "https://www.bilibili.com/video/BV1ju411W75C/"}
JSON: {"text": ""所以，成王的代价是什么"", "url": "https://www.bilibili.com/video/BV1qw411j7A4/"}
JSON: {"text": "「MAD·AMV」独角兽高达出击！Let's Go Into the Sky『4K Hi-Res』", "url": "https://www.bilibili.com/video/BV1Na4y1S74u/"}
JSON: {"text": "【主题曲/完整版/官方MV】葬送的芙莉莲 主题曲OP「勇者」by YOASOBI 动画MV【4K画质】", "url": "https://www.bilibili.com/video/BV1uF411U7Ts/"}
JSON: {"text": "【赛马娘/好歌剧/MAD】欢迎来到《世纪末霸王传说》第一章的舞台", "url": "https://www.bilibili.com/video/BV1oX4y1z7W2/"}
JSON: {"text": "无论幻术还是现实，你都已经输了", "url": "https://www.bilibili.com/video/BV1j44geJExb/"}
JSON: {"text": "「原神·温迪」“我化作你的模样，在这尘世行走，已两千六百年”——《起风了》【温迪个人向mad】", "url": "https://www.bilibili.com/video/BV1Kv41187u2/"}
JSON: {"text": "完整版!![静止系mad/BSD/天人五衰全员!]Couting sheep", "url": "https://www.bilibili.com/video/BV1444y1B7Sp/"}
